"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "BodyLength_max" "BEl" "VEp" "REs" "OGp" "RMl" "BLs" "PFv" "PFs" "CPt" "Litter_size" "CAT_Litter_size" "Age_at_maturity_y" "CAT_Age_at_maturity_y" "Longevity_max_y" "CAT_Longevity_max_y" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Eggs" "Diet_Scav" "Diet_Phyto" "Diet_Plant" "Diet_Parasit" "Diet_Other" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat" "Feeding_habitat" "Reprod_habitat" "Spawning_habitat" "Flow_habitat" "Salt_habitat" "MinTemp" "MaxTemp" "Migration_type" "Migration_dist" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Acipenser stellatus" "EEA" "Fishes" "Acipenser stellatus Pallas, 1771" "SPECIES" NA "No" NA "CRITICALLY_ENDANGERED" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2500 8.674477993 0.280231335 0.280278547 0 0.278200985 0.325371789 0 0.098354576 4.437812167 15905 "fe3" 3 "ma5" 30 "ls3" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "demersal" "ben" "lithpel" "rheo" "rheo" "fbm" -9.3 28.6 "dia" "medium" 2209946.33100385 "NO"
"Acipenser sturio" "InfoSpecies" "Fishes" "Acipenser sturio Linnaeus, 1758" "SPECIES" NA NA "RE" "CRITICALLY_ENDANGERED" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6000 8.307055489 0.343421838 0.311984323 0 0.196335259 0.433890215 0 0.096993993 3.30320441 15905 "fe3" 8 "ma5" 20 "ls3" "Carnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "demersal" "ben" "lith" "rheo" "rheo" "fbm" -9.3 32 "dia" "long" 1417046.95898062 "NO"
"Alburnoides bipunctatus" "SPEED2ZERO" "Fishes" "Alburnoides bipunctatus (Bloch, 1782)" "SPECIES" "INN" NA "VU" NA "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 185 3.512796769 0.525739563 0.623262053 0.488984023 0.580383492 0.451359456 0.268386674 0.204675647 3.342143807 14000 "fe1" 1.5 "ma2" 5.5 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "rheo" "frb" -9.3 28.6 "pot" "short" 9222.39306950504 "NO"
"Alburnoides eichwaldii" "EEA" "Fishes" "Alburnoides eichwaldii (De Filippi, 1863)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 90 4.33928169 0.388211694 0.547123036 0.293583994 0.190829787 0.482379278 0.123375246 0.15906454 2.789562503 11500 "fe2" 1.5 "ma4" 5.5 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -9.3 28.6 "nom" "short" 157096.217571546 "YES"
"Alburnoides gmelini" "EEA" "Fishes" "Alburnoides gmelini Bogutskaya & Coad, 2009" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 127 2.63423759 0.525430789 0.556986906 0.523918796 0.241800455 0.421093263 0.318648272 0.20822856 2.859456309 5495 "fe1" 2.5 "ma2" 5.5 "ls1" "Omnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "bentic" "wc" "phylith" "eury" "limno" "frb" -7.7 28.6 "pot" "short" 22631.4264943026 "NO"
"Alburnoides kubanicus" "EEA" "Fishes" "Alburnoides kubanicus Bănărescu, 1964" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 90 2.959627476 0.386596205 0.4223579 0.243813835 0.330511228 0.412535674 0.159911986 0.152191702 3.01447933 5495 "fe2" 2.5 "ma2" 6 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "limno" "fre" -9.3 28.6 "nom" "short" 37491.799521431 "NO"
"Alburnoides maculatus" "EEA" "Fishes" "Alburnoides maculatus (Kessler, 1859)" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 120 4.744077448 0.468442813 0.421724147 0 0.346172727 0.618556701 0.382064176 0.164923055 2.053007436 15905 "fe1" 1.5 "ma4" 5.5 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "ben" "phylith" "rheo" "rheo" "fre" -7.7 28.6 "pot" "short" 22374.1468300049 "NO"
"Alburnoides ohridanus" "EEA" "Fishes" "Alburnoides ohridanus (Karaman, 1928)" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 140 3.512796769 0.568493393 0.614438664 0.520692859 0.147225851 0.432211728 0.242920354 0.170252336 3.009296765 15905 "fe1" 2 "ma2" 12 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "eury" "limno" "fre" -9.3 28.6 "pot" "short" 348.39331223541 "NO"
"Alburnoides prespensis" "EEA" "Fishes" "Alburnoides prespensis (Karaman, 1924)" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 120 4.688790221 0.457590199 0.454919579 0.164344414 0.327754386 0.518909773 0.231020849 0.189219641 2.852747815 11500 "fe1" 2 "ma4" 5.5 "ls1" "Carnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "bentic" "ben" "lith" "rheo" "rheo" "fre" -7.7 28.6 "nom" "short" 318.662821025835 "NO"
"Alburnoides rossicus" "EEA" "Fishes" "Alburnoides rossicus Berg, 1924" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 750 4.069680727 0.525739563 0.333641377 0.359633663 0.46206342 0.409389939 0.36893787 0.163529382 3.533629851 11500 "fe3" 3 "ma5" 8 "ls3" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "ben" "lith" "rheo" "rheo" "frb" -7.7 28.6 "pot" "short" 1712601.95453628 "NO"
"Alburnus albidus" "EEA" "Fishes" "Alburnus albidus (Costa, 1838)" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 200 3.399537805 0.580208499 0.480494606 0.525608122 0.313874884 0.403177451 0.385706012 0.1680655 3.119769486 20000 "fe1" 2.5 "ma2" 5.5 "ls1" "Omnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "bentic" "wc" "phylith" "eury" "limno" "frb" -7.7 32 "nom" "short" 50579.2558514203 "NO"
"Alburnus alborella" "InfoSpecies" "Fishes" "Alburnus arborella (Bonaparte, 1841)" "SPECIES" NA NA NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 170 3.896945319 0.519231851 0.45175 0.374394972 0.423677251 0.497434527 0.223875877 0.186034433 2.804878049 5495 "fe1" 2 "ma2" 16 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "rheo" "rheo" "fre" -7.7 32 "pot" "short" 13244.2165050594 "NO"
"Alburnus alburnus" "SPEED2ZERO" "Fishes" "Alburnus alburnus (Linnaeus, 1758)" "SPECIES" "INN" NA "LC" "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 250 4.253526855 0.559971056 0.540985824 0.559971056 0.441100168 0.429576461 0.2766026 0.152191702 1.942321838 20000 "fe2" 1.5 "ma2" 5.5 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "phylith" "eury" "eury" "frb" -7.7 28.6 "pot" "short" 7213077.00336118 "NO"
"Alburnus arborella" "SPEED2ZERO" "Fishes" "Alburnus arborella (Bonaparte, 1841)" "SPECIES" "INN" NA "CR" "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 127 4.088881818 0.354663636 0.611174997 0.381927273 0.458499322 0.442709091 0.145736364 0.162780667 2.158013913 5495 "fe1" 2.5 "ma2" 5 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "phylith" "rheo" "rheo" "fre" -7.7 28.6 "pot" "short" 129721.996692659 "NO"
"Alburnus belvica" "EEA" "Fishes" "Alburnus belvica Karaman, 1924" "SPECIES" NA "Yes" NA "VULNERABLE" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 220 4.03104469 0.637553245 0.614438664 0.6943181 0.337188803 0.419771136 0.340625226 0.168893506 1.976688823 15905 "fe1" 2.5 "ma1" 6 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "phylith" "eury" "limno" "frb" -7.7 32 "nom" "short" 318.662821025835 "NO"
"Alburnus chalcoides" "EEA" "Fishes" "Alburnus chalcoides (Güldenstädt, 1772)" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 400 4.304443236 0.516448787 0.499901961 0.555920251 0.568627451 0.478271471 0.328975749 0.142962963 2.427996763 20000 "fe1" 2.5 "ma1" 5 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "phylith" "eury" "limno" "frb" -7.7 28.6 "pot" "medium" 627072.093379888 "NO"
"Alburnus hohenackeri" "EEA" "Fishes" "Alburnus hohenackeri Kessler, 1877" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 80 4.854359173 0.454787158 0.366161083 0.151578112 0.382144448 0.532497752 0.240990258 0.163529382 2.249765654 11500 "fe1" 2.5 "ma4" 5.5 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "ben" "phylith" "rheo" "rheo" "fre" -7.4 32 "nom" "short" 283365.560984887 "NO"
"Alburnus istanbulensis" "EEA" "Fishes" "Alburnus istanbulensis Battalgil, 1941" "SPECIES" NA "No" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 160 3.8684665 0.454828009 0.369288025 0.119613511 0.385394002 0.558186245 0.188277016 0.145810175 2.395216597 11500 "fe1" 1.5 "ma1" 16 "ls1" "Carnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "bentic" "ben" "lith" "rheo" "rheo" "fre" -9.3 32 "nom" "short" 21055.0162189399 "NO"
"Alburnus leobergi" "EEA" "Fishes" "Alburnus leobergi Freyhof & Kottelat, 2007" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 131 4.253526855 0.468442813 0.46132951 0.32270629 0.277785714 0.46361529 0.193038024 0.142217655 2.800205348 20000 "fe1" 2 "ma2" 8 "ls1" "Carnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "bentic" "ben" "lith" "eury" "limno" "fre" -7.7 32 "pot" "short" 169942.314930748 "NO"
"Alburnus macedonicus" "EEA" "Fishes" "Alburnus macedonicus Karaman, 1928" "SPECIES" NA "Yes" NA "CRITICALLY_ENDANGERED" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 350 4.227398288 0.520366586 0.432179532 0.519694839 0.344102056 0.403177451 0.25614737 0.16103259 2.800205348 11500 "fe2" 2.5 "ma2" 7 "ls2" "Omnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "bentic" "wc" "lith" "eury" "eury" "fre" -7.4 28.6 "nom" "short" 42.0671580095062 "NO"
"Alburnus mandrensis" "EEA" "Fishes" "Alburnus mandrensis (Drensky, 1943)" "SPECIES" NA "Yes" NA "CRITICALLY_ENDANGERED" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 110 2.822643439 0.627147112 0.568784464 0.522679194 0.404057143 0.422416209 0.353212706 0.182608066 3.912062752 5495 "fe1" 1.5 "ma2" 15 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "phylith" "rheo" "rheo" "frb" -9.3 32 "pot" "short" 4624.22609827591 "NO"
"Alburnus mento" "EEA" "Fishes" "Alburnus mento (Heckel, 1837)" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 150 3.284140914 0.546616531 0.568784464 0.511645125 0.267115526 0.507366533 0.25842272 0.172268642 2.73590014 5495 "fe1" 1.5 "ma2" 2.5 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "wc" "lith" "eury" "limno" "fre" -7.7 32 "pot" "short" 2258.4775209668 "NO"
"Alburnus mentoides" "EEA" "Fishes" "Alburnus mentoides Kessler, 1859" "SPECIES" NA "Yes" NA "ENDANGERED" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 120 3.607350832 0.19254066 0.426666667 0.216290079 0.367599051 0.53575 0.215891216 0.155051745 1.701818629 15905 "fe1" 1 "ma1" 5.5 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "ben" "phylith" "eury" "limno" "fre" -7.4 32 "nom" "short" 14229.3561012509 "NO"
"Alburnus neretvae" "EEA" "Fishes" "Alburnus neretvae Buj, Sanda & Perea, 2010" "SPECIES" NA "Yes" NA "LEAST_CONCERN" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 270 4.282346722 0.454828009 0.466809764 0.27693543 0.394619718 0.453333333 0.161490015 0.155576596 2.375334796 20000 "fe1" 1.5 "ma4" 8 "ls1" "Carnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "bentic" "ben" "lith" "rheo" "rheo" "fre" -7.7 28.6 "pot" "short" 11407.1219505593 "NO"
"Alburnus sarmaticus" "EEA" "Fishes" "Alburnus sarmaticus Freyhof & Kottelat, 2007" "SPECIES" NA "Yes" NA "ENDANGERED" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 210 4.688790221 0.403140113 0.421724147 0.268493291 0.425548547 0.518909773 0.215891216 0.150340078 2.316349227 350 "fe1" 2.5 "ma4" 8 "ls1" "Carnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "ben" "lith" "rheo" "rheo" "fre" -7.4 32 "pot" "short" 184597.95798612 "NO"
"Alburnus schischkovi" "EEA" "Fishes" "Alburnus schischkovi (Drensky, 1943)" "SPECIES" NA "Yes" NA "ENDANGERED" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 130 3.595132698 0.434414978 0.536024918 0.359633663 0.328277703 0.438372109 0.219159049 0.185086397 3.399975318 11500 "fe1" 2.5 "ma1" 5.5 "ls1" "Omnivorous" 1 1 0 0 0 0 0 0 0 0 1 0 0 "bentic" "ben" "lith" "rheo" "limno" "fre" -7.4 32 "nom" "short" 2693.03843230841 "NO"
"Alburnus scoranza" "EEA" "Fishes" "Alburnus scoranza Heckel & Kner, 1857" "SPECIES" NA "Yes" NA NA "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 270 4.180501878 0.531716728 0.456778716 0.393222622 0.313874884 0.478271471 0.12047509 0.162780667 2.32606192 350 "fe1" 2.5 "ma4" 12 "ls1" "Carnivorous" 1 1 0 0 0 0 0 1 0 0 1 0 0 "bentic" "ben" "lith" "rheo" "rheo" "fre" -9.3 32 "pot" "short" 15147.8528337574 "NO"
